Tm,FG,FGA,FGAver,3P,3PA,3PAver,2P,2PA,2PAver,FT,FTA,FTAver,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,26.599999999999998,56.89999999999999,2.33,8.100000000000001,22.4,1.8290000000000002,18.5,34.6,2.6109999999999998,11.1,14.1,3.957,7.200000000000001,20.7,27.900000000000002,16.5,4.300000000000001,2.5,-10.4,-12.999999999999998,72.6
BKN,22.1,46.8,2.397,7.200000000000001,19.0,1.642,14.900000000000002,27.9,2.727,7.5,10.100000000000001,3.795,5.3,17.4,22.6,13.000000000000002,3.5000000000000004,2.5999999999999996,-7.9,-10.899999999999999,59.1
BOS,28.6,60.60000000000001,2.341,8.700000000000001,22.9,1.8729999999999998,19.900000000000002,37.699999999999996,2.639,10.000000000000002,11.899999999999999,4.199,5.5,21.4,26.699999999999996,18.700000000000003,5.8999999999999995,3.1999999999999997,-8.299999999999999,-11.4,75.89999999999999
CHA,25.4,56.1,2.297,8.2,22.599999999999998,1.7320000000000002,17.1,33.5,2.57,11.7,14.0,4.151,5.5,21.799999999999997,27.3,14.700000000000001,4.8999999999999995,3.0,-7.1000000000000005,-10.7,70.39999999999999
CHI,28.700000000000003,62.8,2.322,7.799999999999999,21.9,1.6449999999999998,20.900000000000002,40.900000000000006,2.53,12.6,15.5,4.050000000000001,5.5,22.6,28.2,11.5,4.2,3.1,-9.7,-10.5,77.8
CLE,23.7,51.800000000000004,2.333,4.9,13.4,1.449,18.9,38.5,2.4850000000000003,9.8,12.5,3.888,8.2,20.3,28.499999999999996,12.8,4.3,1.3,-7.4,-12.100000000000001,62.199999999999996
DAL,25.1,56.0,2.356,8.0,21.9,1.444,17.2,34.1,2.5420000000000003,14.1,18.8,3.7439999999999998,5.9,24.5,30.3,14.8,3.8,2.0,-9.5,-10.0,72.30000000000001
DEN,28.1,62.10000000000001,2.258,6.799999999999999,20.0,1.7200000000000002,21.3,42.0,2.49,12.0,15.2,3.965,7.4,22.4,29.6,19.2,4.9,2.7,-9.3,-11.4,75.3
DET,22.4,50.099999999999994,2.186,8.0,22.0,1.52,14.4,28.1,2.5389999999999997,8.399999999999999,11.6,3.837,7.3,18.4,25.6,10.8,4.5,2.5,-6.7,-12.000000000000002,61.1
GSW,19.099999999999998,37.599999999999994,2.758,6.5,16.4,1.1549999999999998,12.5,21.200000000000003,3.083,7.199999999999999,9.399999999999999,3.458,6.0,18.700000000000003,24.6,18.0,4.7,4.0,-7.5,-12.0,52.1
HOU,31.199999999999996,68.0,2.314,12.0,32.8,1.463,19.3,35.2,2.601,17.5,21.3,3.855,7.6,24.199999999999996,31.899999999999995,20.199999999999996,6.8999999999999995,3.4,-11.1,-13.299999999999999,91.8
IND,27.4,59.300000000000004,2.3200000000000003,7.800000000000001,20.9,1.8739999999999999,19.599999999999998,38.5,2.506,10.8,14.2,3.7710000000000004,5.299999999999999,20.900000000000002,26.2,13.700000000000001,5.800000000000001,3.6,-8.2,-11.1,73.60000000000001
LAC,23.7,51.900000000000006,2.225,7.6,19.0,1.968,16.0,33.0,2.346,12.4,14.5,4.1610000000000005,3.9000000000000004,20.6,24.499999999999996,14.400000000000002,4.1,2.1,-7.5,-12.3,67.3
LAL,33.4,67.6,2.4930000000000003,6.0,18.800000000000004,1.384,27.400000000000002,48.99999999999999,2.7720000000000002,13.299999999999999,19.799999999999997,3.141,6.4,25.4,31.900000000000002,19.9,4.5,4.0,-11.600000000000001,-12.2,86.3
MEM,24.7,53.4,2.36,6.2,17.8,1.6840000000000002,18.599999999999998,35.5,2.63,12.5,16.1,3.6949999999999994,4.5,21.099999999999998,25.6,16.6,5.6000000000000005,4.3,-8.200000000000001,-13.699999999999998,68.0
MIA,22.200000000000003,48.9,2.282,6.300000000000001,17.8,1.5619999999999998,15.9,31.200000000000003,2.558,8.2,12.099999999999998,3.482,7.1000000000000005,21.6,28.6,12.7,4.0,3.4,-7.4,-12.100000000000001,59.1
MIL,25.4,54.400000000000006,2.3200000000000003,8.7,23.5,1.8609999999999998,16.6,31.000000000000004,2.717,9.6,11.5,4.181,4.5,20.0,24.5,15.0,4.3,3.2,-7.500000000000001,-10.7,69.10000000000001
MIN,26.700000000000003,58.2,2.305,5.2,15.299999999999999,1.6749999999999998,21.599999999999998,42.9,2.5029999999999997,14.1,18.2,3.8240000000000007,8.0,21.299999999999997,29.099999999999998,16.5,4.9,3.6999999999999997,-9.2,-12.9,73.1
NOP,34.6,70.3,2.428,5.800000000000001,16.5,1.746,28.799999999999997,53.8,2.6319999999999997,16.2,21.3,3.799,8.3,25.099999999999998,33.3,24.199999999999996,5.7,4.4,-11.7,-12.0,91.0
NYK,23.2,56.6,2.089,7.800000000000001,22.5,1.7229999999999999,15.399999999999999,34.2,2.295,11.5,14.899999999999999,3.8020000000000005,4.2,18.6,22.700000000000003,11.4,3.6999999999999993,1.6000000000000003,-8.0,-10.700000000000001,65.80000000000001
OKC,31.4,67.39999999999999,2.387,8.2,23.0,1.4340000000000002,23.2,44.199999999999996,2.676,14.299999999999999,20.4,3.4299999999999997,9.4,26.5,35.9,18.4,6.9,3.4,-10.3,-14.600000000000001,85.3
ORL,28.0,60.0,2.304,7.299999999999999,20.2,1.797,20.7,39.7,2.5780000000000003,10.0,12.5,4.007,6.8,23.799999999999997,30.6,17.5,4.0,3.2,-8.6,-10.299999999999999,73.19999999999999
PHI,30.599999999999998,63.8,2.388,6.6000000000000005,18.2,1.4250000000000003,24.0,45.699999999999996,2.5999999999999996,19.7,24.9,3.888,8.1,26.699999999999996,34.8,20.1,4.8999999999999995,3.9000000000000004,-10.9,-11.9,87.4
PHX,28.299999999999997,58.1,2.359,5.8,16.499999999999996,1.394,22.4,41.5,2.623,11.999999999999998,14.700000000000001,3.982,5.6000000000000005,18.599999999999998,24.3,15.399999999999999,6.0,2.8,-9.5,-13.600000000000001,74.2
POR,28.9,62.3,2.331,7.199999999999999,20.3,1.4649999999999999,21.8,42.0,2.6239999999999997,14.8,17.5,4.051,7.8999999999999995,23.2,31.0,15.600000000000001,4.800000000000001,3.5,-8.200000000000001,-12.399999999999999,79.50000000000001
SAC,25.799999999999997,55.30000000000001,2.333,7.6,18.900000000000002,2.065,18.299999999999997,36.3,2.468,9.200000000000001,12.799999999999999,3.754,6.1,19.700000000000003,26.100000000000005,16.3,5.300000000000001,2.8,-7.6,-12.600000000000001,68.4
SAS,30.299999999999997,61.900000000000006,2.439,4.1,10.899999999999999,1.56,26.300000000000004,51.0,2.5749999999999997,12.999999999999998,15.700000000000001,4.1499999999999995,5.4,23.200000000000003,28.6,17.2,3.9000000000000004,3.0,-8.5,-10.899999999999999,77.9
TOR,30.5,61.800000000000004,2.45,8.5,22.400000000000002,1.832,22.1,39.300000000000004,2.731,13.9,16.9,4.073,6.4,24.7,31.1,18.0,5.4,3.6999999999999997,-9.1,-12.1,83.0
UTA,28.0,57.3,2.5389999999999997,6.1,17.3,1.282,21.9,39.9,2.7640000000000002,14.2,19.4,3.679,8.2,23.6,32.0,19.2,5.3999999999999995,4.3999999999999995,-10.5,-12.5,76.3
WAS,25.8,53.900000000000006,2.46,7.3999999999999995,21.800000000000004,1.748,18.400000000000002,32.400000000000006,2.871,12.100000000000001,14.900000000000002,4.0729999999999995,5.2,18.900000000000002,24.1,17.400000000000002,4.6,2.5999999999999996,-7.9,-10.9,71.39999999999999
